@RELATION Points

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE w NUMERIC
@ATTRIBUTE t NUMERIC

@DATA
10.20 , 7.91 , 1.02 , 4.85 , 10.17
8.53 , 3.76 , 7.87 , 7.03 , 9.20
11.95 , 5.91 , 5.22 , 4.09 , 5.07
11.77 , 5.84 , 4.72 , 3.94 , 4.92
7.99 , 3.95 , 8.13 , 6.70 , 9.02
0.79 , 1.72 , 3.36 , 1.21 , 7.15
10.24 , 8.13 , 1.33 , 4.99 , 10.08
4.81 , 9.00 , 11.35 , 10.21 , 11.77
4.72 , 9.09 , 10.88 , 9.92 , 11.97
9.79 , 8.18 , 0.93 , 4.86 , 9.96
7.02 , 1.32 , 9.16 , 10.85 , 3.10
12.03 , 5.90 , 4.89 , 3.90 , 5.39
7.86 , 3.96 , 8.12 , 6.90 , 9.01
12.40 , 6.24 , 4.97 , 3.81 , 4.95
6.94 , 0.84 , 8.86 , 11.12 , 3.40
12.21 , 6.05 , 5.21 , 3.97 , 5.16
7.14 , 1.18 , 9.10 , 11.09 , 3.06
0.88 , 1.86 , 2.89 , 1.07 , 7.29
7.01 , 1.00 , 8.73 , 10.88 , 2.95
7.28 , 1.11 , 9.28 , 10.64 , 2.65
4.75 , 8.93 , 11.04 , 10.15 , 12.21
12.05 , 6.33 , 5.06 , 4.39 , 4.96
5.15 , 9.20 , 10.94 , 10.00 , 12.04
11.91 , 6.07 , 5.13 , 3.88 , 4.88
5.09 , 8.82 , 11.09 , 10.15 , 12.18
12.21 , 6.20 , 5.18 , 3.92 , 4.72
6.94 , 1.16 , 8.93 , 10.99 , 3.42
9.90 , 7.83 , 1.11 , 4.93 , 9.68
6.88 , 1.26 , 9.28 , 11.35 , 2.95
11.48 , 5.82 , 4.71 , 3.83 , 4.91
11.71 , 6.00 , 5.14 , 3.67 , 4.86
12.25 , 6.38 , 4.95 , 3.86 , 5.02
11.96 , 5.87 , 5.01 , 3.98 , 5.23
5.12 , 9.05 , 10.60 , 10.16 , 12.27
11.85 , 5.77 , 4.94 , 3.69 , 5.09
7.12 , 1.08 , 9.15 , 11.10 , 3.48
8.03 , 3.87 , 7.78 , 7.45 , 9.32
9.96 , 8.02 , 0.58 , 5.03 , 10.10
6.65 , 0.89 , 8.95 , 11.12 , 3.02
4.76 , 9.10 , 10.84 , 9.40 , 12.08
4.81 , 8.75 , 11.29 , 10.16 , 11.88
6.87 , 0.97 , 8.85 , 10.85 , 3.38
5.04 , 9.22 , 11.11 , 9.94 , 12.12
12.04 , 6.35 , 4.96 , 3.86 , 4.69
4.58 , 8.96 , 10.77 , 10.10 , 11.53
12.19 , 5.93 , 4.95 , 4.03 , 5.46
11.95 , 6.21 , 5.12 , 4.09 , 4.95
5.40 , 9.06 , 11.10 , 9.54 , 11.98
11.78 , 6.02 , 5.14 , 4.20 , 5.19
7.08 , 0.95 , 8.66 , 10.51 , 2.83
6.71 , 1.44 , 9.02 , 11.04 , 3.10
12.06 , 6.34 , 4.83 , 4.20 , 4.78
6.76 , 0.68 , 8.64 , 10.91 , 3.10
0.88 , 1.61 , 3.00 , 0.88 , 6.92
7.08 , 0.85 , 8.96 , 10.83 , 2.77
10.26 , 8.06 , 1.13 , 4.87 , 10.11
7.00 , 1.15 , 9.04 , 10.81 , 3.16
9.94 , 7.85 , 1.22 , 5.28 , 9.85
0.93 , 2.29 , 3.25 , 1.26 , 7.08
5.34 , 9.24 , 11.23 , 9.79 , 11.76
6.85 , 0.72 , 9.12 , 10.75 , 3.09
12.32 , 6.02 , 4.86 , 4.10 , 5.19
6.92 , 1.45 , 8.75 , 10.80 , 3.10
12.11 , 5.90 , 5.26 , 4.27 , 4.95
4.81 , 9.19 , 11.38 , 10.22 , 11.77
4.83 , 8.79 , 10.78 , 9.93 , 12.01
9.90 , 8.00 , 0.57 , 4.48 , 10.50
7.77 , 4.00 , 8.29 , 7.13 , 8.86
5.54 , 9.06 , 10.77 , 10.14 , 11.80
12.09 , 6.19 , 5.32 , 4.06 , 4.84
8.22 , 4.01 , 8.62 , 7.04 , 8.94
12.08 , 5.57 , 5.14 , 4.27 , 4.89
8.20 , 3.73 , 7.86 , 6.97 , 8.97
0.69 , 1.96 , 3.08 , 1.06 , 7.15
7.38 , 1.00 , 9.17 , 11.12 , 3.19
12.23 , 5.52 , 5.12 , 4.20 , 5.06
4.91 , 9.04 , 11.02 , 9.93 , 12.02
7.06 , 0.88 , 8.98 , 11.36 , 2.92
12.09 , 6.16 , 5.08 , 4.11 , 4.79
7.00 , 0.91 , 9.00 , 11.21 , 3.11
8.03 , 3.93 , 7.64 , 7.29 , 9.08
12.09 , 5.99 , 5.12 , 4.04 , 4.72
5.02 , 9.02 , 11.22 , 10.21 , 11.89
5.20 , 9.14 , 11.12 , 9.57 , 11.99
10.26 , 8.02 , 1.10 , 4.95 , 10.00
8.33 , 3.73 , 8.21 , 7.03 , 8.90
6.72 , 1.01 , 9.03 , 11.01 , 3.00
8.19 , 3.89 , 8.29 , 7.25 , 8.91
12.24 , 6.11 , 5.01 , 4.39 , 4.95
11.96 , 6.22 , 4.71 , 4.13 , 5.27
12.01 , 6.12 , 5.03 , 3.87 , 5.18
11.86 , 5.63 , 5.06 , 4.02 , 5.09
6.94 , 1.27 , 8.86 , 10.75 , 3.13
12.10 , 6.10 , 4.86 , 3.95 , 4.97
7.89 , 4.24 , 8.13 , 6.79 , 9.19
12.33 , 6.17 , 4.64 , 3.81 , 5.10
7.14 , 1.01 , 8.85 , 10.46 , 3.03
9.91 , 8.27 , 1.23 , 4.99 , 9.79
7.91 , 3.93 , 8.00 , 7.02 , 9.08
6.86 , 0.98 , 9.11 , 10.99 , 3.29
12.07 , 6.02 , 4.77 , 3.82 , 5.34
4.71 , 8.99 , 10.95 , 10.21 , 11.56
6.91 , 0.92 , 8.76 , 11.12 , 2.89
6.91 , 1.45 , 8.62 , 11.22 , 3.21
12.22 , 6.14 , 4.79 , 3.77 , 5.22
9.95 , 7.99 , 1.11 , 4.99 , 9.96
12.20 , 5.80 , 4.81 , 3.86 , 5.29
9.86 , 7.72 , 1.04 , 4.82 , 10.15
6.84 , 1.01 , 9.24 , 11.32 , 3.03
11.87 , 5.85 , 5.20 , 4.03 , 4.92
0.93 , 1.85 , 2.73 , 0.77 , 6.53
5.01 , 8.89 , 10.94 , 10.10 , 11.86
8.02 , 4.08 , 7.78 , 7.44 , 8.92
11.90 , 6.06 , 5.19 , 3.91 , 4.92
7.80 , 4.34 , 8.09 , 7.06 , 8.78
11.97 , 6.36 , 4.94 , 4.17 , 4.89
9.97 , 7.53 , 0.97 , 4.76 , 9.84
11.94 , 5.71 , 4.92 , 3.75 , 4.63
11.64 , 5.82 , 4.83 , 4.11 , 5.15
11.93 , 6.01 , 4.88 , 4.16 , 5.42
10.03 , 8.09 , 1.17 , 5.34 , 10.18
6.63 , 0.70 , 8.75 , 10.81 , 2.83
7.09 , 1.04 , 9.09 , 10.98 , 2.87
7.03 , 1.16 , 9.12 , 10.96 , 3.26
10.22 , 7.81 , 1.28 , 4.68 , 9.93
5.03 , 9.09 , 10.88 , 10.26 , 11.92
11.82 , 5.66 , 5.05 , 3.69 , 4.90
11.92 , 5.72 , 5.22 , 4.16 , 4.74
11.73 , 5.86 , 5.33 , 4.09 , 5.17
12.37 , 6.06 , 4.75 , 3.66 , 4.83
7.41 , 1.14 , 8.68 , 10.73 , 2.82
12.01 , 5.84 , 5.08 , 4.02 , 5.04
9.97 , 7.82 , 0.70 , 5.10 , 10.13
4.77 , 8.87 , 10.62 , 10.22 , 12.01
7.19 , 0.85 , 8.95 , 11.01 , 2.81
12.05 , 6.19 , 5.11 , 3.95 , 4.85
11.87 , 6.32 , 4.96 , 4.20 , 5.30
7.54 , 4.15 , 8.34 , 6.79 , 9.13
12.17 , 6.09 , 5.05 , 4.03 , 5.12
4.76 , 8.92 , 10.97 , 10.16 , 12.21
12.15 , 6.00 , 5.06 , 4.08 , 5.10
7.13 , 1.08 , 9.45 , 11.17 , 2.57
12.28 , 6.10 , 5.30 , 4.09 , 4.69
11.76 , 5.93 , 4.81 , 4.32 , 5.43
11.85 , 5.88 , 4.98 , 3.86 , 5.03
12.33 , 6.20 , 5.28 , 3.91 , 4.96
12.07 , 5.82 , 4.67 , 4.16 , 5.02
6.98 , 0.87 , 9.04 , 11.25 , 3.04
11.87 , 6.08 , 5.01 , 4.05 , 4.98
11.74 , 6.17 , 5.41 , 3.97 , 5.12
9.72 , 7.91 , 0.60 , 5.28 , 10.12
7.85 , 3.90 , 7.58 , 6.93 , 8.92
7.00 , 1.10 , 9.11 , 11.26 , 3.26
12.11 , 5.96 , 5.09 , 3.88 , 4.98
11.75 , 6.01 , 5.01 , 3.89 , 5.00
7.90 , 4.07 , 8.02 , 7.13 , 8.76
11.93 , 5.80 , 5.21 , 4.47 , 4.82
6.52 , 1.20 , 8.80 , 11.12 , 3.21
5.01 , 9.05 , 10.89 , 10.32 , 11.68
6.73 , 1.09 , 9.14 , 10.82 , 3.35
11.77 , 6.35 , 5.04 , 4.01 , 4.74
12.30 , 6.20 , 4.75 , 4.25 , 5.06
12.08 , 6.14 , 5.20 , 4.32 , 4.97
5.31 , 9.02 , 10.63 , 9.85 , 12.29
12.04 , 6.19 , 4.92 , 3.50 , 4.82
7.22 , 0.83 , 8.89 , 10.88 , 2.59
6.90 , 0.78 , 8.93 , 10.87 , 3.10
5.36 , 8.97 , 11.23 , 9.76 , 11.68
12.07 , 5.58 , 4.56 , 3.90 , 4.60
11.91 , 5.92 , 5.39 , 3.97 , 4.85
6.84 , 0.45 , 8.99 , 10.98 , 2.88
9.93 , 8.00 , 1.01 , 5.06 , 10.07
10.06 , 7.54 , 1.17 , 4.76 , 9.86
11.88 , 5.81 , 4.93 , 4.00 , 5.03
12.02 , 5.87 , 5.21 , 4.38 , 5.37
6.92 , 0.95 , 8.84 , 11.07 , 3.49
4.86 , 9.31 , 11.01 , 10.09 , 12.26
11.78 , 6.01 , 5.18 , 4.05 , 5.08
9.81 , 8.02 , 0.96 , 5.14 , 10.38
12.08 , 5.92 , 4.83 , 4.12 , 5.22
12.11 , 5.87 , 5.23 , 4.02 , 4.85
6.86 , 0.98 , 8.92 , 11.12 , 2.98
8.19 , 3.97 , 8.23 , 7.08 , 8.95
4.92 , 9.24 , 11.20 , 10.06 , 11.85
12.36 , 5.89 , 5.12 , 3.49 , 5.19
11.91 , 6.03 , 5.19 , 4.01 , 4.84
10.00 , 7.72 , 0.80 , 5.01 , 9.86
12.24 , 5.91 , 4.88 , 4.21 , 5.04
10.16 , 7.87 , 1.29 , 4.77 , 10.20
11.87 , 6.03 , 5.29 , 3.99 , 4.95
7.16 , 1.07 , 9.19 , 11.09 , 3.18
4.79 , 8.95 , 11.04 , 9.95 , 12.09
4.99 , 8.95 , 11.14 , 9.95 , 11.66
12.01 , 5.98 , 4.89 , 3.91 , 4.81
5.20 , 9.25 , 11.40 , 10.06 , 12.08
12.17 , 6.20 , 4.98 , 4.07 , 4.84
12.44 , 6.01 , 4.82 , 4.20 , 4.94
7.70 , 4.07 , 8.11 , 6.96 , 9.00
10.17 , 7.90 , 1.30 , 4.98 , 10.06
11.96 , 5.77 , 4.83 , 3.84 , 4.58
10.14 , 8.05 , 0.61 , 4.99 , 10.04
10.05 , 7.81 , 1.10 , 4.47 , 9.86
9.79 , 7.76 , 1.21 , 5.11 , 9.61
7.09 , 1.00 , 9.14 , 10.83 , 2.77
6.93 , 0.58 , 9.12 , 11.15 , 2.88
4.91 , 9.29 , 11.05 , 9.87 , 12.14
1.21 , 2.08 , 3.03 , 0.96 , 7.32
12.04 , 5.77 , 4.77 , 3.90 , 5.19
11.87 , 5.72 , 5.47 , 3.72 , 4.83
7.01 , 1.18 , 8.75 , 11.02 , 3.22
6.81 , 0.94 , 8.74 , 11.00 , 3.20
11.80 , 6.20 , 4.87 , 3.97 , 5.18
12.30 , 5.72 , 4.85 , 3.60 , 5.28
5.30 , 8.76 , 11.01 , 9.71 , 11.96
6.86 , 0.98 , 9.17 , 10.88 , 2.92
7.07 , 1.14 , 8.99 , 11.03 , 2.97
12.08 , 5.90 , 5.38 , 4.35 , 5.10
8.22 , 4.02 , 7.96 , 7.05 , 8.87
12.07 , 6.12 , 4.79 , 4.01 , 4.97
8.19 , 4.59 , 7.80 , 6.55 , 9.17
9.73 , 8.44 , 0.92 , 5.05 , 10.23
8.06 , 3.99 , 8.00 , 6.82 , 9.04
12.27 , 6.43 , 5.16 , 4.28 , 5.09
6.80 , 0.88 , 9.14 , 11.06 , 2.88
4.99 , 8.90 , 11.15 , 9.49 , 12.31
11.83 , 5.99 , 5.32 , 3.92 , 4.82
11.85 , 6.25 , 4.84 , 3.97 , 5.28
12.51 , 5.93 , 4.90 , 4.30 , 4.99
4.71 , 9.63 , 11.28 , 10.28 , 12.13
11.93 , 6.03 , 4.97 , 3.89 , 5.05
11.88 , 6.07 , 5.13 , 4.03 , 4.58
11.85 , 6.07 , 5.05 , 3.66 , 5.33
6.65 , 0.96 , 8.98 , 11.12 , 2.79
10.33 , 7.75 , 1.27 , 4.90 , 10.17
5.24 , 8.98 , 10.98 , 10.11 , 12.28
7.78 , 4.00 , 8.00 , 7.14 , 8.77
7.08 , 0.90 , 9.24 , 11.01 , 3.04
12.01 , 6.03 , 4.79 , 4.31 , 5.21
0.62 , 2.37 , 2.82 , 1.00 , 7.51
7.27 , 0.94 , 9.17 , 10.91 , 2.91
12.09 , 6.14 , 5.09 , 4.26 , 5.29
7.13 , 0.98 , 8.43 , 11.05 , 2.88
12.05 , 6.27 , 5.32 , 3.80 , 5.15
7.06 , 0.97 , 9.13 , 10.68 , 2.76
9.60 , 8.01 , 1.17 , 5.00 , 9.94
4.86 , 8.77 , 11.20 , 10.36 , 12.10
12.03 , 6.25 , 4.94 , 3.96 , 4.87
11.96 , 5.97 , 4.90 , 4.12 , 5.36
11.92 , 5.60 , 5.21 , 3.96 , 5.13
10.09 , 7.85 , 1.14 , 5.14 , 10.03
12.24 , 6.02 , 5.14 , 3.68 , 4.61
12.08 , 5.77 , 4.87 , 4.19 , 5.37
7.11 , 0.74 , 8.94 , 11.00 , 3.13
12.00 , 5.78 , 4.92 , 4.17 , 5.41
4.88 , 8.80 , 11.11 , 10.40 , 12.19
5.03 , 8.86 , 10.87 , 9.88 , 12.00
4.83 , 9.20 , 10.78 , 9.97 , 12.08
5.15 , 8.96 , 10.80 , 10.29 , 12.11
5.19 , 8.90 , 10.77 , 10.07 , 12.02
9.98 , 8.06 , 1.08 , 5.15 , 9.80
9.96 , 7.88 , 1.19 , 5.26 , 10.13
5.13 , 8.85 , 11.06 , 9.76 , 12.17
12.04 , 5.74 , 4.53 , 3.79 , 5.01
8.08 , 3.92 , 7.89 , 7.07 , 9.11
11.98 , 5.74 , 5.32 , 3.95 , 5.16
12.15 , 5.90 , 4.95 , 4.00 , 4.83
12.03 , 6.06 , 5.02 , 3.93 , 4.99
12.42 , 6.41 , 4.66 , 3.94 , 4.80
12.01 , 5.89 , 5.41 , 3.73 , 4.92
12.13 , 6.07 , 4.74 , 3.89 , 5.10
11.91 , 6.15 , 4.89 , 4.14 , 5.34
5.12 , 8.96 , 10.72 , 10.04 , 11.78
7.09 , 1.02 , 8.99 , 11.05 , 2.98
6.93 , 0.85 , 8.98 , 11.40 , 2.97
10.04 , 8.49 , 1.27 , 4.71 , 10.31
7.53 , 1.05 , 9.30 , 11.05 , 2.78
11.77 , 5.68 , 5.44 , 4.24 , 4.91
12.07 , 6.26 , 5.09 , 3.92 , 5.13
9.87 , 7.75 , 1.06 , 5.01 , 9.53
8.47 , 3.62 , 8.24 , 7.03 , 8.99
11.72 , 5.74 , 5.21 , 4.29 , 4.97
12.04 , 5.93 , 5.29 , 3.83 , 5.01
11.63 , 5.80 , 4.88 , 3.55 , 5.14
6.99 , 0.67 , 8.58 , 11.29 , 2.79
11.64 , 6.06 , 5.13 , 3.63 , 5.24
10.22 , 7.86 , 0.76 , 4.96 , 9.94
4.84 , 9.20 , 10.96 , 9.61 , 12.18
11.83 , 6.15 , 4.82 , 3.87 , 4.76
5.22 , 8.99 , 10.77 , 10.13 , 12.08
11.96 , 6.18 , 5.05 , 3.72 , 4.96
7.11 , 0.71 , 8.82 , 10.78 , 2.84
12.03 , 6.25 , 5.17 , 4.06 , 5.22
12.24 , 5.85 , 5.18 , 4.09 , 4.84
6.99 , 1.18 , 8.83 , 11.12 , 2.91
6.84 , 0.96 , 9.11 , 11.13 , 2.93
11.92 , 5.81 , 4.93 , 3.90 , 5.03
12.02 , 5.98 , 4.76 , 4.01 , 4.98
6.72 , 1.07 , 9.13 , 10.95 , 3.11
11.90 , 5.90 , 5.23 , 4.13 , 5.15
4.90 , 9.32 , 10.53 , 10.08 , 12.44
7.90 , 3.77 , 7.83 , 7.05 , 8.65
8.34 , 4.14 , 8.04 , 6.89 , 9.29
12.09 , 6.03 , 5.06 , 3.80 , 5.18
8.04 , 4.17 , 8.64 , 7.08 , 8.79
11.97 , 5.82 , 4.92 , 4.02 , 4.91
11.66 , 6.00 , 5.34 , 3.96 , 5.17
0.92 , 2.11 , 3.28 , 0.88 , 7.13
12.21 , 6.21 , 4.84 , 4.43 , 4.70
7.66 , 3.83 , 7.99 , 6.88 , 8.97
6.98 , 1.41 , 8.80 , 10.79 , 2.99
4.98 , 9.33 , 11.05 , 10.17 , 12.17
6.84 , 0.84 , 9.04 , 10.92 , 2.88
12.32 , 6.28 , 5.10 , 4.01 , 5.27
7.06 , 0.97 , 9.40 , 11.25 , 3.20
10.08 , 7.83 , 1.13 , 4.95 , 9.96
6.91 , 1.21 , 8.64 , 11.16 , 3.11
6.81 , 0.81 , 9.12 , 11.07 , 2.86
4.66 , 9.18 , 11.16 , 9.76 , 12.05
4.76 , 9.20 , 10.54 , 10.20 , 11.93
11.84 , 6.21 , 4.89 , 3.96 , 4.86
9.96 , 7.91 , 0.79 , 4.60 , 9.85
11.88 , 6.04 , 5.25 , 4.05 , 4.78
4.88 , 8.96 , 11.25 , 9.80 , 12.19
5.28 , 8.69 , 11.08 , 10.05 , 12.04
1.49 , 2.29 , 3.10 , 0.77 , 7.07
6.80 , 1.19 , 9.04 , 10.90 , 2.96
7.07 , 1.00 , 9.01 , 11.09 , 2.92
8.01 , 4.12 , 7.92 , 6.81 , 9.61
11.70 , 5.78 , 4.84 , 4.24 , 5.27
12.21 , 6.08 , 4.88 , 3.93 , 4.71
7.12 , 1.46 , 8.87 , 11.27 , 2.91
11.96 , 6.28 , 5.05 , 4.25 , 5.09
8.10 , 3.78 , 7.60 , 7.30 , 8.96
8.08 , 4.28 , 8.01 , 6.84 , 8.99
11.92 , 5.69 , 4.84 , 3.86 , 4.89
12.09 , 5.87 , 5.05 , 3.92 , 5.10
12.08 , 5.80 , 5.28 , 4.03 , 5.17
7.08 , 1.04 , 9.11 , 10.89 , 3.03
6.62 , 0.98 , 9.02 , 11.05 , 2.68
7.15 , 0.86 , 8.97 , 11.34 , 3.04
9.83 , 8.19 , 1.31 , 4.95 , 9.84
7.17 , 1.33 , 9.26 , 11.19 , 2.68
5.23 , 9.16 , 11.08 , 9.75 , 11.68
6.79 , 1.06 , 8.74 , 10.87 , 3.02
11.77 , 5.91 , 4.93 , 4.01 , 5.03
12.02 , 6.09 , 4.86 , 4.12 , 4.93
11.89 , 6.05 , 5.21 , 4.07 , 5.08
10.02 , 7.79 , 1.03 , 4.71 , 9.80
12.07 , 5.82 , 5.18 , 4.16 , 5.07
0.77 , 2.05 , 2.92 , 0.94 , 7.03
7.08 , 0.78 , 9.32 , 10.57 , 3.13
12.18 , 6.08 , 5.18 , 3.96 , 5.28
7.04 , 0.89 , 9.03 , 11.47 , 3.33
5.13 , 9.26 , 11.03 , 9.79 , 11.87
11.73 , 5.93 , 5.05 , 3.79 , 4.80
12.22 , 6.23 , 4.98 , 4.16 , 4.92
8.01 , 4.13 , 7.88 , 7.24 , 8.85
12.09 , 6.02 , 4.99 , 3.73 , 5.06
12.12 , 6.51 , 5.17 , 3.78 , 4.87
0.82 , 2.00 , 2.70 , 0.80 , 6.81
6.84 , 1.04 , 9.28 , 11.33 , 3.14
1.20 , 1.92 , 2.77 , 1.01 , 7.02
12.04 , 6.27 , 5.00 , 4.16 , 4.80
11.96 , 6.31 , 5.00 , 3.89 , 4.93
6.79 , 1.17 , 8.97 , 10.93 , 3.10
12.07 , 5.97 , 5.28 , 3.80 , 5.11
7.22 , 0.89 , 9.07 , 10.57 , 3.03
10.26 , 7.90 , 1.11 , 5.33 , 10.33
7.16 , 0.86 , 8.68 , 10.95 , 2.93
12.19 , 5.94 , 4.94 , 4.23 , 4.98
5.16 , 8.69 , 10.79 , 9.62 , 12.14
12.08 , 6.21 , 5.34 , 3.93 , 4.84
5.37 , 9.32 , 10.98 , 9.73 , 12.23
0.94 , 2.01 , 2.86 , 0.66 , 7.01
12.04 , 6.14 , 5.31 , 3.62 , 4.90
10.06 , 8.17 , 1.05 , 5.13 , 9.97
11.78 , 5.94 , 5.10 , 3.95 , 5.32
10.27 , 7.98 , 1.09 , 4.70 , 9.86
8.00 , 3.72 , 8.10 , 7.08 , 8.98
6.96 , 0.85 , 8.77 , 10.87 , 2.97
9.95 , 7.83 , 1.23 , 4.95 , 10.06
7.28 , 0.96 , 9.03 , 11.19 , 3.21
12.12 , 6.04 , 5.10 , 4.27 , 4.92
1.06 , 2.20 , 3.28 , 1.17 , 6.96
11.84 , 6.26 , 5.06 , 4.17 , 5.04
