Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
15:25:48     2093        0    31840   100.0%            5       2940
15:25:49     2130        0    32368   100.0%            5       3054
15:25:50     2141        0    31516   100.0%            5       3165
15:25:51     2128        0    32296   100.0%            5       3279
15:25:52     2256        3    31328    99.9%            5       3389
15:25:53     2172        4    22603    99.8%            5       3469
15:25:54     2225        5    29296    99.8%            5       3539
15:25:55     2288        3    45469    99.9%            5       3647
15:25:56     2238        9    41583    99.6%            5       3746
15:25:57     2281        3    47686    99.9%            5       3859
15:25:58     2269        7    43155    99.7%            5       3962
15:25:59     2140        1    47794   100.0%            5       4075
15:26:00     2071        0    31339   100.0%            5       4164
15:26:01     2132        0    32553   100.0%            5       4277
15:26:02     2142        0    32360   100.0%            5       4390
15:26:03     2124        0    32363   100.0%            5       4504
15:26:04     2361        6    32469    99.7%            5       4617
15:26:05     2247        3    30612    99.9%            5       4723
15:26:06     2264        3    32492    99.9%            5       4836
15:26:07     2271        6    32236    99.7%            5       4950
15:26:08     2169        4    23819    99.8%            5       5032
15:26:09     2184        3    32398    99.9%            5       5147
15:26:10     2118        0    31998   100.0%            5       5258
15:26:11     2124        0    32455   100.0%            5       5371
15:26:12     2140        0    32558   100.0%            5       5484
15:26:13     2121        0    32704   100.0%            5       5597
15:26:14     2248        3    33171    99.9%            5       5690
15:26:15     2305        8    45562    99.7%            5       5798
15:26:16     2273        3    47738    99.9%            5       5910
15:26:17     2294        5    47668    99.8%            5       6022
15:26:18     2144        4    33863    99.8%            5       6104
15:26:19     2205        3    34546    99.9%            5       6204
15:26:20     2128        0    32546   100.0%            5       6317
15:26:21     2096        0    31954   100.0%            5       6428
15:26:22     2126        0    32379   100.0%            5       6541
15:26:23     2131        0    32527   100.0%            5       6654
15:26:24     2108        0    31475   100.0%            5       6763
15:26:25     2347        8    32666    99.7%            5       6876
15:26:26     2258        3    32413    99.9%            5       6989
15:26:27     2274        6    32257    99.7%            5       7102
15:26:28     2209        4    24976    99.8%            5       7190
15:26:29     2218        9    28118    99.6%            5       7288
15:26:30     2132        0    47463   100.0%            5       7400
15:26:31     2132        0    46648   100.0%            5       7510
15:26:32     2141        0    47591   100.0%            5       7622
15:26:33     2108        0    47495   100.0%            5       7735
15:26:34     2037        0    28948   100.0%            5       7804
15:26:35     2252        6    12300    99.7%            5       7843
15:26:36     2136        6    13508    99.7%            5       7888
15:26:37     2196        3    19222    99.9%            5       7943
15:26:38     2040        7     6078    99.7%            5       7964
15:26:39     2153        3    17763    99.9%            5       8017
15:26:40     2009        0    16050   100.0%            5       8063
15:26:41     2005        0    16625   100.0%            5       8106
15:26:42     2018        0    19269   100.0%            5       8155
15:26:43     2005        0    19787   100.0%            5       8203
15:26:44     2152        0    21680   100.0%            5       8254
15:26:45     2167        6    18557    99.7%            5       8298
15:26:46     2055        0    15553   100.0%            5       8347
15:26:48     1984        0    15596   100.0%            5       8391
15:26:49     1977        0    15014   100.0%            5       8435
15:26:50     1996        0    14294   100.0%            5       8477
15:26:51     1998        0    15367   100.0%            5       8517
15:26:52     2226        5    20212    99.8%            5       8566
15:26:53     2022        0    24552   100.0%            5       8626
15:26:54     2028        0    19872   100.0%            5       8674
15:26:55     2000        0    14401   100.0%            5       8711
15:26:56     1993        0    17158   100.0%            5       8751
15:26:57     2008        0    18378   100.0%            5       8795
15:26:58     2013        0    17560   100.0%            5       8837
15:26:59     2018        2    15663    99.9%            5       8882
15:27:00     2028        0    20473   100.0%            5       8931
15:27:01     1999        0    14938   100.0%            5       8975
15:27:02     2022        0    14800   100.0%            5       9016
15:27:03     2012        0    12304   100.0%            5       9058
15:27:04     2016        2    17030    99.9%            5       9104
15:27:05     2042        0    21998   100.0%            5       9157
15:27:06     2006        0    17506   100.0%            5       9199
15:27:07     2001        0    16281   100.0%            5       9240
15:27:08     2017        0    22489   100.0%            5       9294
15:27:09     2000        2    14107    99.9%            5       9332
15:27:10     1989        0    16005   100.0%            5       9374
15:27:11     2007        0    15847   100.0%            5       9416
15:27:12     2026        1    20148   100.0%            5       9469
15:27:13     2014        0    15590   100.0%            5       9506
15:27:14     2020        2    16928    99.9%            5       9552
15:27:15     1995        0    20051   100.0%            5       9602
15:27:16     2022        0    18181   100.0%            5       9646
15:27:17     2025        0    22177   100.0%            5       9699
15:27:18     2039        0    20114   100.0%            5       9749
15:27:19     2012        0    19746   100.0%            5       9800
15:27:20     1619        1    23940    99.9%            5       9855
15:27:21     2033        0    19307   100.0%            5       9902
15:27:22     2028        0    19484   100.0%            5       9950
15:27:23     2274       11    17519    99.5%            5       9997
15:27:24     2151        3    15768    99.9%            5      10040
15:27:25     2146        6    14507    99.7%            5      10080
15:27:26     2169        3    17096    99.9%            5      10130
15:27:27     2169        6    15429    99.7%            5      10178
15:27:28     2196        3    19277    99.9%            5      10229
15:27:29     2155        6    16034    99.7%            5      10277
15:27:30     2014        0    17713   100.0%            5      10328
15:27:31     2036        0    16461   100.0%            5      10377
15:27:32     1977        0    11607   100.0%            5      10411
15:27:33     1977        0     8372   100.0%            5      10438
15:27:34     1992        0    12303   100.0%            5      10474
15:27:35     2174        7     6926    99.7%            5      10491
15:27:37     1958        0    11029   100.0%            5      10523
15:27:38     1960        0     8458   100.0%            5      10547
15:27:39     1976        0    12691   100.0%            5      10579
15:27:40     1962        0     9011   100.0%            5      10608
15:27:41     1954        0    11285   100.0%            5      10639
15:27:42     1932        0     7833   100.0%            5      10666
15:27:43     1969        0    13290   100.0%            5      10698
15:27:44     1945        0    14399   100.0%            5      10733
15:27:45     1930        0    11199   100.0%            5      10760
15:27:46     1916        2     8436    99.9%            5      10780
15:27:47     1962        0    13472   100.0%            5      10812
15:27:48     1978        0    13323   100.0%            5      10843
15:27:49     1948        0    11418   100.0%            5      10873
15:27:50     1970        0    12757   100.0%            5      10908
15:27:51     1914        2     8152    99.9%            5      10931
15:27:52     1950        0     9131   100.0%            5      10955
15:27:53     1951        0    11006   100.0%            5      10981
15:27:54     1951        0    12397   100.0%            5      11012
15:27:55     1950        0     9997   100.0%            5      11039
15:27:56     1954        0     9515   100.0%            5      11062
15:27:57     1964        0    11930   100.0%            5      11091
15:27:58     1983        0    13612   100.0%            5      11123
15:27:59     1957        0     8847   100.0%            5      11153
15:28:00     1971        0     9227   100.0%            5      11180
15:28:01     1981        2    10450    99.9%            5      11210
15:28:02     1994        0    12122   100.0%            5      11243
15:28:03     1969        0     8759   100.0%            5      11268
15:28:04     1976        0    12637   100.0%            5      11300
15:28:05     1977        2    11670    99.9%            5      11331
15:28:06     1991        0    12764   100.0%            5      11362
15:28:07     2224        9     9700    99.6%            5      11391
15:28:08     2078        3    10222    99.9%            5      11418
15:28:09     2113        2     6270    99.9%            5      11436
15:28:10     2082        5     7444    99.8%            5      11463
15:28:11     2084        4    13950    99.8%            5      11498
15:28:12     1946        0    11144   100.0%            5      11529
15:28:13     1987        0     8769   100.0%            5      11560
15:28:14     1971        0     9522   100.0%            5      11590
15:28:15     1970        0    11304   100.0%            5      11620
15:28:16     2101        3    14175    99.9%            5      11657
15:28:18     2023        2     9395    99.9%            5      11686
15:28:19     1946        0     8725   100.0%            5      11713
15:28:20     1952        0     9555   100.0%            5      11744
15:28:21     1963        0    10608   100.0%            5      11771
15:28:22     1983        0    12020   100.0%            5      11803
15:28:23     1984        0    11799   100.0%            5      11834
15:28:24     1976        0    11891   100.0%            5      11867
15:28:25     1978        0    13098   100.0%            5      11901
15:28:26     1972        0    11805   100.0%            5      11930
15:28:27     1987        0    11018   100.0%            5      11961
15:28:28     1982        0     9018   100.0%            5      11990
15:28:29     1987        0    11627   100.0%            5      12023
15:28:30     1967        0     8018   100.0%            5      12051
15:28:31     1988        2     8432    99.9%            6      12079
15:28:32     1978        0     8880   100.0%            6      12110
15:28:33     1951        0    10282   100.0%            6      12145
15:28:34     1955        0     6975   100.0%            6      12169
15:28:35     1967        0     8254   100.0%            6      12198
15:28:36     1975        2    11398    99.9%            6      12229
15:28:37     1970        0     9104   100.0%            6      12258
15:28:38     1958        0    10504   100.0%            6      12289
15:28:39     1977        0    13700   100.0%            6      12323
15:28:40     1975        0    10284   100.0%            6      12348
15:28:41     1969        2     7968    99.9%            6      12375
15:28:42     1974        0     9247   100.0%            6      12398
15:28:43     1972        0     8884   100.0%            6      12427
15:28:44     1971        0     8012   100.0%            6      12450
15:28:45     1985        0    14107   100.0%            6      12484
15:28:46     1938        1    13617    99.9%            6      12517
15:28:47     2001        0    14359   100.0%            6      12556
15:28:48     2170        3     8941    99.9%            6      12585
15:28:49     2092        3    10800    99.9%            6      12615
15:28:50     2120        6    12281    99.7%            6      12650
15:28:51     2047        5     2643    99.8%            6      12659
15:28:52     2065        1     8757   100.0%            6      12682
15:28:53     1981        0    10809   100.0%            6      12714
15:28:54     1965        0    10595   100.0%            6      12746
15:28:55     1950        0    14342   100.0%            6      12780
15:28:56     1940        0    11167   100.0%            6      12813
15:28:57     2093        0     8801   100.0%            6      12840
15:28:58     2019        3    11879    99.9%            6      12872
15:28:59     1950        0    10677   100.0%            6      12900
15:29:00     1949        0    10861   100.0%            6      12929
15:29:01     1962        0    11300   100.0%            6      12960
15:29:02     1981        0    11802   100.0%            6      12990
15:29:03     1964        0    10334   100.0%            6      13016
15:29:04     1952        0     7217   100.0%            6      13039
15:29:05     1979        0     9071   100.0%            6      13066
15:29:06     1981        2    13036    99.9%            6      13101
15:29:07     1974        0     9064   100.0%            6      13129
15:29:08     1961        0    12377   100.0%            6      13161
15:29:09     1985        0    12358   100.0%            6      13194
15:29:10     1990        0     9484   100.0%            6      13227
15:29:11     1944        2     9885    99.9%            6      13251
15:29:12     1960        0    10290   100.0%            6      13277
15:29:13     1982        0     9678   100.0%            6      13306
15:29:14     1945        0     8768   100.0%            6      13333
15:29:15     1987        0    10611   100.0%            6      13367
15:29:17     1975        2    10083    99.9%            6      13398
15:29:18     1966        0    11812   100.0%            6      13428
15:29:19     1962        0    10579   100.0%            6      13459
15:29:20     1962        0     9788   100.0%            6      13489
15:29:21     1988        2     9453    99.9%            6      13518
15:29:22     1985        0    11294   100.0%            6      13550
15:29:23     1991        0     9516   100.0%            6      13582
15:29:24     1975        0    10177   100.0%            6      13614
15:29:25     1968        0     9084   100.0%            6      13640
15:29:26     1957        2    10489    99.9%            6      13668
15:29:27     1976        0     8672   100.0%            6      13695
15:29:28     1974        0    11014   100.0%            6      13727
15:29:29     2181        2    11547    99.9%            6      13759
15:29:30     2133        3    12711    99.9%            6      13793
15:29:31     1588        8     9626    99.5%            6      13820
15:29:32     2150        0    10516   100.0%            6      13851
15:29:33     1998        0    13464   100.0%            6      13883
15:29:34     1955        0     7658   100.0%            6      13902
15:29:35     2007        0    15717   100.0%            6      13940
15:29:36     1950        0    10785   100.0%            6      13967
15:29:37     1948        0    12287   100.0%            6      13996
15:29:38     2204        6    11514    99.7%            6      14024
15:29:39     1963        0    13738   100.0%            6      14061
15:29:40     1953        0     8635   100.0%            6      14082
15:29:41     1980        0    12535   100.0%            6      14114
15:29:42     1999        0    11572   100.0%            6      14148
15:29:43     1987        0    11306   100.0%            6      14175
15:29:45     1956        0     9309   100.0%            6      14197
15:29:46     1950        0    12430   100.0%            6      14228
15:29:47     1988        2    12460    99.9%            6      14260
15:29:48     1996        0    11251   100.0%            6      14293
15:29:49     1988        0    13237   100.0%            6      14326
15:29:50     1948        0     9630   100.0%            6      14352
15:29:51     1976        0    10284   100.0%            6      14381
15:29:52     1955        2    11809    99.9%            6      14413
15:29:53     1963        0    14234   100.0%            6      14446
15:29:54     1975        0    11803   100.0%            6      14475
15:29:55     1936        0    11040   100.0%            6      14501
15:29:56     1947        2     8246    99.9%            6      14527
15:29:57     1934        0    10281   100.0%            6      14555
15:29:58     1952        0    10302   100.0%            6      14580
15:29:59     1954        0     9208   100.0%            6      14605
15:30:00     1955        0     9858   100.0%            6      14631
15:30:01     1941        2    13979    99.9%            6      14664
15:30:02     1955        0    13083   100.0%            6      14696
15:30:03     1930        0     9069   100.0%            6      14720
15:30:04     1981        0    11997   100.0%            6      14751
15:30:05     1951        0    13470   100.0%            6      14784
15:30:06     1921        0     9710   100.0%            6      14807
15:30:07     1991        0    12350   100.0%            6      14842
15:30:08     1998        0     9515   100.0%            6      14875
15:30:09     2142        6     8936    99.7%            6      14903
15:30:10     2148        3    12427    99.9%            6      14938
15:30:11     2963       21    10799    99.3%            6      14928
15:30:13     2116        7     8984    99.7%            6      14953
15:30:14     1968        0    11244   100.0%            6      14955
15:30:15     1987        0    11349   100.0%            6      14933
15:30:16     1960        0    11605   100.0%            6      14941
15:30:17     1962        0    10027   100.0%            6      14940
15:30:18     1981        0    12801   100.0%            6      14948
15:30:19     2130        6    11088    99.7%            6      14951
15:30:20     1990        0    12782   100.0%            6      14956
15:30:21     1964        2     8524    99.9%            6      14955
15:30:22     1971        0    12804   100.0%            6      14935
15:30:23     1970        0    11032   100.0%            6      14940
15:30:24     1967        0    10992   100.0%            6      14944
15:30:25     1979        0    12494   100.0%            6      14952
15:30:26     1988        2     9483    99.9%            6      14934
15:30:27     1958        0     8504   100.0%            6      14934
15:30:28     1985        0    12431   100.0%            6      14943
15:30:29     1957        0    12477   100.0%            6      14948
15:30:30     1986        0    13378   100.0%            6      14955
15:30:31     1970        1    10687    99.9%            6      14933
15:30:32     1947        0     7968   100.0%            6      14952
15:30:33     1980        0     9820   100.0%            6      14953
15:30:34     1963        0    10766   100.0%            6      14954
15:30:35     1964        0     8512   100.0%            6      14932
15:30:36     1969        1    11848    99.9%            6      14937
15:30:37     1956        0    10172   100.0%            6      14939
15:30:38     1942        0    12019   100.0%            6      14946
15:30:39     1955        0    12700   100.0%            6      14952
15:30:40     1993        0    15871   100.0%            6      14939
15:30:41     1948        1    10107    99.9%            6      14941
15:30:42     1917        0     7292   100.0%            6      14936
15:30:43     1974        0    10112   100.0%            6      14939
15:30:44     1987        0    13365   100.0%            6      14947
15:30:45     1968        0    13986   100.0%            6      14932
15:30:46     1961        2     8600    99.9%            6      14932
15:30:47     1975        0    12064   100.0%            6      14938
15:30:48     1977        0    12336   100.0%            6      14942
15:30:49     2145        3    12664    99.9%            6      14949
15:30:50     2137        6     9669    99.7%            6      14954
15:30:51     2029        5     5072    99.8%            6      14943
15:30:53     2143        2     8441    99.9%            6      14944
15:30:54     2135        3    15771    99.9%            6      14933
15:30:55     1992        0     8999   100.0%            6      14938
15:30:56     1992        0     9043   100.0%            6      14943
15:30:57     1949        0    12020   100.0%            6      14950
15:30:58     1946        0    11512   100.0%            6      14953
15:30:59     2075        5     9155    99.8%            6      14932
15:31:00     1994        0     8756   100.0%            6      14959
15:31:01     1947        0     9632   100.0%            6      14934
15:31:02     2738      164    11086    94.3%            6      14938
15:31:03     1980    42240     9569     4.5%            6      14934
15:31:04     1935        0     8186   100.0%            6      14933
15:31:05     1991        0    13911   100.0%            6      14944
15:31:06     1954        0     8932   100.0%            6      14946
15:31:07     1954    10943     8714    15.2%            6      14941
15:31:08     1961    37792     7705     4.9%            6      14939
15:31:09     1954        0     8295   100.0%            6      14941
15:31:10     1944        0     9482   100.0%            6      14948
15:31:11     1958        0     9583   100.0%            6      14955
15:31:12     1960        2    11465    99.9%            6      14962
15:31:13     1958        0     8300   100.0%            6      14959
15:31:14     1979    14464    11936    12.0%            6      14964
15:31:15     2029    34687    11907     5.5%            6      14957
15:31:16     1959        0     9361   100.0%            6      14954
15:31:17     1965        0    11494   100.0%            6      14957
15:31:18     1973        0    12354   100.0%            6      14961
15:31:19     1962        0    10561   100.0%            6      14936
15:31:20     1978        0    12173   100.0%            6      14941
15:31:21     1950    18754    12181     9.4%            6      14943
15:31:22     1961    27808     6330     6.6%            6      14941
15:31:23     1975        0    12480   100.0%            6      14948
15:31:24     1978        0    11895   100.0%            6      14951
15:31:25     1978        0    11994   100.0%            6      14955
15:31:26     1967        2    10942    99.9%            6      14956
15:31:27     1949        0     8890   100.0%            6      14958
15:31:28     2008    22945    13958     8.0%            6      14954
15:31:29     1994    24704    13945     7.5%            6      14958
15:31:30     2176        7    11938    99.7%            6      14963
15:31:31     2058        3     6767    99.9%            6      14958
15:31:32     2164        2    12923    99.9%            6      14969
15:31:33     2090        3     9717    99.9%            6      14967
15:31:34     2001        0    15013   100.0%            6      14953
15:31:35     1994    43584     9429     4.4%            6      14974
15:31:36     1972     3994     9929    33.1%            6      14958
15:31:37     1964        0    13061   100.0%            6      14964
15:31:38     1983        0    11064   100.0%            6      14973
15:31:39     2170        5    13043    99.8%            6      14959
15:31:41     1935    34207     7954     5.4%            6      14968
15:31:42     1982       63     7828    96.9%            6      14967
15:31:43     1984        0    14849   100.0%            6      14978
15:31:44     1949        0    11357   100.0%            6      14956
15:31:45     1951      576    10168    77.2%            6      14962
15:31:46     2032    47360    14147     4.1%            6      14979
15:31:47     1984        2    11621    99.9%            6      14981
15:31:48     1976        0    11469   100.0%            6      14983
15:31:49     1977        0    10727   100.0%            6      14983
15:31:50     1943        0    11154   100.0%            6      14959
15:31:51     1946        0    10072   100.0%            6      14959
15:31:52     1982     6303    13167    23.9%            6      14965
15:31:53     3006    42400     9484     6.6%            6      14975
15:31:54     1975        0    11444   100.0%            6      14978
15:31:55     1967        0     9943   100.0%            6      14976
15:31:56     1980        0    14238   100.0%            6      14985
15:31:57     1925        2     8220    99.9%            6      14984
15:31:58     1997        0    12974   100.0%            6      14965
15:31:59     1952    10784    12889    15.3%            6      14987
15:32:00     1999    38016    13403     5.0%            6      14992
15:32:01     1985        0    11561   100.0%            6      14971
15:32:02     1976        2     9491    99.9%            6      14976
15:32:03     1940        0    11511   100.0%            6      14979
15:32:04     1965        0    13747   100.0%            6      14986
15:32:05     1949    13373    10844    12.7%            6      14988
15:32:06     1944    34080    10720     5.4%            6      14995
15:32:07     1941        1     8860    99.9%            6      14993
15:32:08     1952        0    11324   100.0%            6      14972
15:32:09     1961        0    12507   100.0%            6      14977
15:32:10     2084        3    11135    99.9%            6      14979
15:32:11     2117        5    12084    99.8%            6      14985
15:32:12     1871    13058      605    12.5%            6      14987
15:32:13     2074    17026     3640    10.9%            6      14990
15:32:14     2105        3     9271    99.9%            6      14989
15:32:15     2062        6    12135    99.7%            6      14993
15:32:16     1928        0    10164   100.0%            6      14992
15:32:17     1929        0    13075   100.0%            6      14975
15:32:18     1933    20288    11424     8.7%            6      14980
15:32:19     2013    26528    11814     7.1%            6      14986
15:32:20     2074        2    10381    99.9%            6      14987
15:32:21     1964        0     8751   100.0%            6      14990
15:32:22     1984        0    10153   100.0%            6      14998
15:32:23     2753        0    11346   100.0%            6      14981
15:32:24     1949    26047    10768     7.0%            6      14987
15:32:25     2002    22464    12186     8.2%            6      14984
15:32:26     1973        0     8664   100.0%            6      14989
15:32:27     1988        2     9287    99.9%            6      14992
15:32:28     1994        0     9875   100.0%            6      15000
15:32:29     1981        0    11298   100.0%            6      15003
15:32:30     1927    30144     6233     6.0%            6      15010
15:32:31     2006    18241     9214     9.9%            6      14989
15:32:32     1953        0     8654   100.0%            6      14989
15:32:33     1973        0     6886   100.0%            6      14988
15:32:34     1957        0    12913   100.0%            6      14996
15:32:35     1938        0     9855   100.0%            6      14995
15:32:36     1959        0     9593   100.0%            6      14999
15:32:37     1958    34816     9508     5.3%            6      15009
15:32:38     1965    12672     8827    13.4%            6      15010
15:32:39     1981        0     8500   100.0%            6      15013
15:32:40     1990        0    15895   100.0%            6      15002
15:32:41     1948        0    11214   100.0%            6      15004
15:32:42     1989        0    12405   100.0%            6      15009
15:32:43     1980        0    12847   100.0%            6      15015
15:32:44     1980    41888    12058     4.5%            6      15004
15:32:45     1979     6944    11057    22.2%            6      15004
15:32:46     1972        2    11294    99.9%            6      15007
15:32:47     1977        0    12990   100.0%            6      15013
15:32:48     1960        0    11575   100.0%            6      15015
15:32:49     1946        0     9523   100.0%            6      15012
15:32:50     1991        0    12716   100.0%            6      15005
15:32:51     2093    35268     6617     5.6%            6      15003
15:32:53     2171        4     5554    99.8%            6      14998
15:32:54     2144        5    11583    99.8%            6      15003
15:32:55     2140        3    11477    99.9%            6      15006
15:32:56     2003       67    10572    96.8%            6      15005
15:32:57     1988    34937     9865     5.4%            6      15013
15:32:58     1976        0    11169   100.0%            6      15011
15:32:59     1980        0    12451   100.0%            6      15019
15:33:00     1974        0     9343   100.0%            6      15016
15:33:01     2089       67    12416    96.9%            6      15022
15:33:02     2782    23137    12650    10.7%            6      15021
15:33:03     1971        0    12364   100.0%            6      15025
15:33:04     1960     8160    15759    19.4%            6      15018
15:33:05     1983    41312    13273     4.6%            6      15023
15:33:06     1960        0     8594   100.0%            6      15019
15:33:07     1973        0     9841   100.0%            6      15018
15:33:08     1953        0    11474   100.0%            6      15020
15:33:09     1937        0    10752   100.0%            6      15021
15:33:10     1963        0    10672   100.0%            6      15022
15:33:12     1930    14049    10419    12.1%            6      15032
15:33:13     2004    32384    11539     5.8%            6      15026
15:33:14     1937        0    11280   100.0%            6      15028
15:33:15     1959        0    10448   100.0%            6      15030
15:33:16     1961        0    10929   100.0%            6      15032
15:33:17     1944        0    10588   100.0%            6      15032
15:33:18     1976        0    10539   100.0%            6      15013
15:33:19     1959    18688    11428     9.5%            6      15040
15:33:20     1968    30016    11246     6.2%            6      15033
15:33:21     1952        0    14060   100.0%            6      15042
15:33:22     1941        2    11110    99.9%            6      15017
15:33:23     1936        0     8568   100.0%            6      15039
15:33:24     1923        0    10063   100.0%            6      15037
15:33:25     1983        0    11560   100.0%            6      15039
15:33:26     1935    23872    11539     7.5%            6      15033
15:33:27     2011    24769    13183     7.5%            6      15035
15:33:28     1969        0     8507   100.0%            6      15032
15:33:29     1964        0    13609   100.0%            6      15040
15:33:30     1976        0    11788   100.0%            6      15042
15:33:31     1986        0    11135   100.0%            6      15022
15:33:32     2052    27080    12891     7.0%            6      15045
15:33:33     2108    19648    11589     9.7%            6      15030
15:33:34     2078        6     7354    99.7%            6      15026
15:33:35     2194        4    13363    99.8%            6      15043
15:33:36     2208        6    20936    99.7%            6      15045
15:33:37     2083    18404    17074    10.2%            6      15039
